"Foto","Latitude","Longitude","Local"
"2019-10-19_02-14-38_UTC.jpg","-8.504167","-35.001111","Porto de Galinhas"
"2019-07-19_13-41-33_UTC.jpg","-8.7630169081","-35.1042623818","ICMBio Costa dos Corais"
"2019-11-19_21-19-08_UTC.jpg","-24.31667","-46.18333","Laje de Santos"
"2019-05-01_11-41-46_UTC.jpg","-3.8449","-32.40868","Fernando de Noronha"
"2018-06-21_09-45-58_UTC.jpg","-22.9774","-42.0267","arraial do cabo"
"2019-03-29_14-11-05_UTC.jpg","-9.46442","-35.55228","Paripueira, Alagoas, Brazil"
"2019-11-08_13-01-28_UTC.jpg","-9.0130128009","-35.2213435797","Maragogi Piscinas Naturais"
"2020-01-13_23-57-51_UTC.jpg","-8.75665","-35.1033","tamandaré"
"2019-11-06_12-12-12_UTC.jpg","-16.7982","-49.2742","Aparecida de Goiânia"
"2020-01-11_10-41-20_UTC.jpg","-7.1150899999999995","-34.8641","joão pessoa"
"2019-10-27_22-04-27_UTC_5.jpg 2019-10-27_22-04-27_UTC_2.jpg 2019-10-27_22-04-27_UTC_1.jpg 2019-10-27_22-04-27_UTC_3.jpg 2019-10-27_22-04-27_UTC_4.jpg","-10.1333","-36.1667","Pontal De Coruripe"
